LOG_Code;UI_Code;ADR_Num;ADR_Libelle;ADR_CodePo;ADR_CommPo
1 010 0008 001 001;1 010 0008;21;Poyat;1600;Trevoux
1 010 0008 002 001;1 010 0008;21;Poyat;1600;Trevoux
1 010 0008 002 002;1 010 0008;21;Poyat;1600;Trevoux
1 010 0008 002 003;1 010 0008;21;Poyat;1600;Trevoux
1 010 0008 002 004;1 010 0008;21;Poyat;1600;Trevoux
1 010 0008 002 005;1 010 0008;21;Poyat;1600;Trevoux
1 010 0008 002 006;1 010 0008;21;Poyat;1600;Trevoux
1 010 0008 002 007;1 010 0008;21;Poyat;1600;Trevoux
1 010 0008 002 008;1 010 0008;21;Poyat;1600;Trevoux
1 010 0008 002 009;1 010 0008;21;Poyat;1600;Trevoux
1 010 0008 002 010;1 010 0008;21;Poyat;1600;Trevoux
1 010 0008 002 011;1 010 0008;21;Poyat;1600;Trevoux
1 010 0008 002 012;1 010 0008;21;Poyat;1600;Trevoux
1 010 0008 002 013;1 010 0008;21;Poyat;1600;Trevoux
1 010 0008 002 014;1 010 0008;21;Poyat;1600;Trevoux
1 010 0008 002 015;1 010 0008;21;Poyat;1600;Trevoux
1 010 0008 002 016;1 010 0008;21;Poyat;1600;Trevoux
1 030 0021 001 001;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 001 002;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 001 003;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 001 004;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 001 005;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 001 006;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 001 007;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 001 008;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 001 009;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 001 010;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 001 011;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 001 012;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 001 013;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 001 014;1 030 0021;;33 rue du chevau fug;3100;Montlucon
